retrieved_at,query,tweet_created_at,tweet_url,tweet_id,tweet_type,in_reply_to_name,referenced_tweets,sensitive,lang,username,user_id,text,rt_count,reply_count,like_count,quote_count,impression_count,has_media,if_video_duration,if_video_views,media_url,ent_hashtags,ent_mentions,ent_anotation_types,ent_anotation_elements,place_name,visible_user_name,followers_count,following_count,user_total_tweets,listed_on
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T13:04:09.000Z,https://twitter.com/librosnegros/status/1650848169566117888,1650848169566117888,replied_to,Dandastur,https://twitter.com/Dandastur/status/1650846145235517446,False,es,librosnegros,905914238526423041,"@Dandastur Acabo de ver todo el clip del programa de Ana Rosa y se posicionan totalmente a favor de la conductora.
Eso sí. Dejan caer sibilinamente que los que molestan siempre son ""el mismo perfil de gente"" (cof cof inmigrantes) y que cómo está Barcelona.",0,0,5,0,335,['false'],0,0,['false'],false,Dandastur,Person;Organization,Ana Rosa;Barcelona,false,BALAMBAMBÚ,1181,770,62862,12
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T09:28:32.000Z,https://twitter.com/ApostolComiKD/status/1650793906768953345,1650793906768953345,quoted,false,https://twitter.com/ApostolComiKD/status/1650793906768953345/photo/1,False,es,ApostolComiKD,765142404475285504,"En este video muchos han visto un reflejo de lo mal que está el metro en Barcelona
Otros han visto una prueba del daño que hace en España la inmigración ilegal

Pero NADIE se ha fijado que los carteles están en inglés porque usamos la realidad para justificar nuestra ficción https://t.co/oHToYEdlaU https://t.co/P4JqGJDAeg",0,0,1,0,206,"['photo', 'photo']",None,None,"['https://pbs.twimg.com/media/FujMTpvXgAAa00C.jpg', 'https://pbs.twimg.com/media/FujMT2UXoAAi_a4.jpg']",false,false,Place;Place,Barcelona;España,false,Apostol ComiK 🙊,640,517,15825,13
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T08:41:02.000Z,https://twitter.com/Luisio172/status/1650781953707200514,1650781953707200514,replied_to,None,https://twitter.com/None/status/1650762647854280704,False,es,Luisio172,999743624689659906,"@KLMG555 @abc_es Entonces, ¿por qué no se ven en determinados sucesos como los robos o reyertas que haya españoles?
Si le preguntas a cualquiera te va a decir que el perfil del delincuente común en Barcelona es el típico mena con más de 10 antecedentes, quizás un problema sí es la inmigración",0,1,0,0,29,['false'],0,0,['false'],false,KLMG555;abc_es,Place,Barcelona,false,Luisiño17 🇪🇸,88,402,14230,4
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T08:26:34.000Z,https://twitter.com/infovoxnoficial/status/1650778315240751104,1650778315240751104,original,false,https://ift.tt/ripqvtE,True,es,infovoxnoficial,1544323521207312384,Marlaska dice que Baleares sufre un «ligero repunte» de inmigración ilegal cuando el aumento es del 48% El Puñalín - La mascota de Barcelona  https://t.co/dnJZnAVu7P,1,0,2,0,44,['false'],0,0,['false'],false,false,Person;Organization;Place;Place,Marlaska;Baleares;Puñalín;Barcelona,false,Noticias VOX | No oficial,1429,1531,5262,4
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T07:21:55.000Z,https://twitter.com/xarera9980/status/1650762042691731456,1650762042691731456,replied_to,None,https://twitter.com/None/status/1650544673063043073,False,es,xarera9980,351625133,"@jordievole @LoDeEvole El de la subida de luz y el gas, o tambien el de la inmigración ilegal, o mira, el de la decadencia de Barcelona gracias a Colau? mira tienes para elegir sectario...",0,0,0,0,10,['false'],0,0,['false'],false,jordievole;LoDeEvole,Place;Person,Barcelona;Colau,false,XaviR9,307,816,7446,9
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T06:26:05.000Z,https://twitter.com/micasma/status/1650747994185113600,1650747994185113600,replied_to,DeMarichalar2,https://twitter.com/DeMarichalar2/status/1650441148173889542,False,es,micasma,229456536,"@DeMarichalar2 Lo que necesita Barcelona es más VOX y menos independentismo y partidos pro inmigración ilegal y pro oKupación.

Tenemos lo que votamos.",0,0,0,0,9,['false'],0,0,['false'],false,DeMarichalar2,Organization;Organization,Barcelona;VOX,false,Deuda Mínima Vital 🇪🇸,219,247,6190,0
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T05:34:34.000Z,https://twitter.com/jsjshah68e/status/1650735027892649985,1650735027892649985,quoted,false,https://twitter.com/Castillo__Rm/status/1650592537474637836,False,es,jsjshah68e,1543734594045870080,"Si no hubiera inmigrantes, Barcelona sería capital de España https://t.co/Ha4dhGSlCY",0,1,1,0,167,['false'],0,0,['false'],false,false,Place;Place,Barcelona;España,false,hhhhhh,20,183,3297,0
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-25T03:06:58.000Z,https://twitter.com/Carlosauros/status/1650697884210216960,1650697884210216960,replied_to,None,https://twitter.com/None/status/1650645119152840704,False,es,Carlosauros,1579978955259535361,"@Realjosemarin1 @elchiringuitotv @JLSanchez78 En Barcelona los inmigrantes que molan son los que roban carteras, móviles, bicicletas, y los que se pelean con machetes, los que trafican con drogas y violan adolescentes. Esos son inmigrantes son lo que les gusta a los energúmenos del Camp Nou.",0,0,0,0,6,['false'],0,0,['false'],false,Realjosemarin1;elchiringuitotv;JLSanchez78,Place;Place,Barcelona;Camp Nou,false,Mandac O'Jones,2,11,552,0
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-24T22:31:58.000Z,https://twitter.com/JJArango2/status/1650628677544075267,1650628677544075267,replied_to,PabloLucini3,https://twitter.com/PabloLucini3/status/1650510771447537665,False,es,JJArango2,1165034611199664128,@PabloLucini3 Que problemita tiene Barcelona y España en general con este tipo de inmigración.,0,0,0,0,103,['false'],0,0,['false'],false,PabloLucini3,Organization;Place,Barcelona;España,false,JJAA🇨🇴🇵🇱,291,1111,3859,1
2023-05-09 10:36:56.333894,(inmigrantes Barcelona OR inmigración Barcelona) lang:es -is:retweet,2023-04-24T22:14:33.000Z,https://twitter.com/crissrrnn/status/1650624293028388866,1650624293028388866,replied_to,None,https://twitter.com/None/status/1650622180143644685,False,es,crissrrnn,1624201406239461376,@RGalan702 @YadierTD @R3TR0_04 @wallstwolverine Exacto y más con los datos de Barcelona que dice: que más del 60 por ciento de los crímenes que se cometen son de inmigrantes,0,0,1,0,31,['false'],0,0,['false'],false,RGalan702;YadierTD;R3TR0_04;wallstwolverine,Place,Barcelona,false,Cristian Rodríguez 🇵🇦,75,534,1350,1
